Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.apache.jmeter.visualizers.GenerateTreeGui::findFirstNodeOfType(java.lang.Class<?>, org.apache.jmeter.gui.tree.JMeterTreeModel):org.apache.jmeter.gui.tree.JMeterTreeNode	org.apache.jmeter.gui.tree.JMeterTreeModel	0/1	
Move Method	org.apache.jmeter.visualizers.MonitorModel::cloneMonitorStats():org.apache.jmeter.visualizers.MonitorStats	org.apache.jmeter.testelement.AbstractTestElement	1/9	
Move Method	org.apache.jmeter.visualizers.SearchTreePanel::searchInNode(org.apache.jmeter.gui.action.Searcher, org.apache.jmeter.visualizers.SearchableTreeNode):boolean	org.apache.jmeter.visualizers.SearchableTreeNode	1/9	
Move Method	org.apache.jmeter.gui.AbstractScopedJMeterGuiComponent::showScopeSettings(org.apache.jmeter.testelement.AbstractScopedTestElement, boolean):void	org.apache.jmeter.testelement.AbstractScopedTestElement	1/6	
Move Method	org.apache.jmeter.gui.AbstractScopedJMeterGuiComponent::saveScopeSettings(org.apache.jmeter.testelement.AbstractScopedTestElement):void	org.apache.jmeter.util.ScopePanel	1/5	
Move Method	org.apache.jmeter.protocol.http.proxy.DefaultSamplerCreator::computeContentEncoding(org.apache.jmeter.protocol.http.sampler.HTTPSamplerBase, org.apache.jmeter.protocol.http.proxy.HttpRequestHdr, java.util.Map<java.lang.String,java.lang.String>, java.util.Map<java.lang.String,java.lang.String>):void	org.apache.jmeter.protocol.http.sampler.HTTPSamplerBase	1/5	
Move Method	org.apache.jmeter.gui.util.PowerTableModel::setRowValues(int, java.lang.Object[]):void	org.apache.jorphan.collections.Data	1/4	
Move Method	org.apache.jmeter.protocol.http.sampler.HTTPHC4Impl::setConnectionAuthorization(org.apache.http.client.HttpClient, java.net.URL, org.apache.jmeter.protocol.http.control.AuthManager, org.apache.jmeter.protocol.http.sampler.HTTPHC4Impl.HttpClientKey):void	org.apache.jmeter.protocol.http.sampler.HTTPHC4Impl.HttpClientKey	1/4	
Move Method	org.apache.jmeter.visualizers.SearchTreePanel::doResetSearch(org.apache.jmeter.visualizers.SearchableTreeNode):void	org.apache.jmeter.visualizers.SearchableTreeNode	1/4	
Move Method	org.apache.jmeter.control.IncludeController::removeDisabledItems(org.apache.jorphan.collections.HashTree):void	org.apache.jorphan.collections.HashTree	1/3	
Move Method	org.apache.jmeter.gui.action.Save::convertSubTree(org.apache.jorphan.collections.HashTree):void	org.apache.jorphan.collections.HashTree	1/3	
Move Method	org.apache.jmeter.protocol.http.proxy.DefaultSamplerCreator::computePath(org.apache.jmeter.protocol.http.sampler.HTTPSamplerBase, org.apache.jmeter.protocol.http.proxy.HttpRequestHdr):void	org.apache.jmeter.protocol.http.sampler.HTTPSamplerBase	1/3	
Move Method	org.apache.jmeter.report.processor.ExternalSampleSorter::sort(org.apache.jmeter.report.core.CsvFile, java.io.File, boolean):void	org.apache.jmeter.report.core.CsvFile	1/3	
Move Method	org.apache.commons.cli.avalon.CLArgsParser::getOptionDescription(org.apache.commons.cli.avalon.CLOptionDescriptor):java.lang.String	org.apache.commons.cli.avalon.CLOptionDescriptor	1/2	
Move Method	org.apache.jmeter.control.ModuleController::createSubTree(org.apache.jorphan.collections.HashTree, org.apache.jmeter.gui.tree.JMeterTreeNode):void	org.apache.jorphan.collections.HashTree	1/2	
Move Method	org.apache.jmeter.gui.util.FileListPanel::setFiles(java.lang.String[]):void	org.apache.jorphan.gui.ObjectTableModel	1/2	
Move Method	org.apache.jmeter.gui.util.FileListPanel::getFiles():java.lang.String[]	org.apache.jorphan.gui.ObjectTableModel	1/2	
Move Method	org.apache.jmeter.protocol.http.gui.CookiePanel::populateTable(org.apache.jmeter.protocol.http.control.CookieManager):void	org.apache.jmeter.gui.util.PowerTableModel	1/2	
Move Method	org.apache.jmeter.protocol.http.gui.DNSCachePanel::populateTable(org.apache.jmeter.protocol.http.control.DNSCacheManager):void	org.apache.jmeter.gui.util.PowerTableModel	1/2	
Move Method	org.apache.jmeter.protocol.http.modifier.AnchorModifier::modifyArgument(org.apache.jmeter.config.Argument, org.apache.jmeter.config.Arguments):void	org.apache.jmeter.config.Arguments	1/2	
Move Method	org.apache.jmeter.protocol.http.proxy.DefaultSamplerCreator::computePort(org.apache.jmeter.protocol.http.sampler.HTTPSamplerBase, org.apache.jmeter.protocol.http.proxy.HttpRequestHdr):void	org.apache.jmeter.protocol.http.sampler.HTTPSamplerBase	1/2	
Move Method	org.apache.jmeter.protocol.http.proxy.Proxy::addFormEncodings(org.apache.jmeter.samplers.SampleResult, java.lang.String):void	org.apache.jmeter.samplers.SampleResult	1/2	
Move Method	org.apache.jmeter.protocol.http.sampler.HTTPSamplerBase::readResponse(org.apache.jmeter.samplers.SampleResult, java.io.InputStream, int):byte[]	org.apache.jmeter.samplers.SampleResult	1/2	
Move Method	org.apache.jmeter.protocol.java.test.JavaTest::listParameters(org.apache.jmeter.protocol.java.sampler.JavaSamplerContext):void	org.apache.jmeter.protocol.java.sampler.JavaSamplerContext	1/2	
Move Method	org.apache.jmeter.protocol.java.test.SleepTest::listParameters(org.apache.jmeter.protocol.java.sampler.JavaSamplerContext):void	org.apache.jmeter.protocol.java.sampler.JavaSamplerContext	1/2	
Move Method	org.apache.jmeter.visualizers.StatGraphVisualizer::getAxisLabels():java.lang.String[]	org.apache.jorphan.gui.ObjectTableModel	1/2	
Move Method	org.apache.jmeter.gui.action.Start::removeThreadGroupsFromHashTree(org.apache.jorphan.collections.HashTree, org.apache.jmeter.threads.AbstractThreadGroup[]):void	org.apache.jorphan.collections.HashTree	2/3	
Move Method	org.apache.jmeter.protocol.mail.sampler.MailReaderSampler::appendMessageData(org.apache.jmeter.samplers.SampleResult, javax.mail.Message):void	org.apache.jmeter.samplers.SampleResult	2/3	
